timesteps,mean_return,upright_frac
2000,-1901.676,0.0000
4000,-1901.676,0.0000
6000,-1434.067,0.0617
8000,-1434.067,0.0617
10000,-1460.153,0.0817
12000,-1460.153,0.0817
14000,-1423.003,0.0733
16000,-1423.003,0.0733
18000,-1280.366,0.0550
20000,-1280.366,0.0550
22000,-1262.949,0.0433
24000,-1262.949,0.0433
26000,-1283.426,0.0417
28000,-1283.426,0.0417
30000,-1240.194,0.0217
32000,-1240.194,0.0217
34000,-1161.631,0.0300
36000,-1161.631,0.0300
38000,-1048.833,0.0350
40000,-1048.833,0.0350
42000,-961.309,0.0433
44000,-961.309,0.0433
46000,-833.147,0.2400
48000,-833.147,0.2400
50000,-638.784,0.6000
52000,-638.784,0.6000
54000,-583.342,0.6000
56000,-583.342,0.6000
58000,-447.399,0.9000
60000,-447.399,0.9000
62000,-430.968,0.9000
64000,-430.968,0.9000
66000,-503.569,0.8000
68000,-503.569,0.8000
70000,-504.945,0.8000
72000,-504.945,0.8000
74000,-503.786,0.8050
76000,-503.786,0.8050
78000,-488.405,0.8583
80000,-488.405,0.8583
82000,-487.503,0.8617
84000,-487.503,0.8617
86000,-487.503,0.8617
88000,-401.935,0.9700
90000,-401.935,0.9700
92000,-399.416,0.9717
94000,-399.416,0.9717
96000,-399.987,0.9733
98000,-399.987,0.9733
100000,-387.902,1.0000
102000,-387.902,1.0000
104000,-384.204,1.0000
106000,-384.204,1.0000
108000,-384.407,0.9667
110000,-384.407,0.9667
112000,-374.304,0.3133
114000,-374.304,0.3133
116000,-371.582,1.0000
118000,-371.582,1.0000
120000,-370.981,1.0000
122000,-370.981,1.0000
124000,-369.886,1.0000
126000,-369.886,1.0000
128000,-370.510,1.0000
130000,-370.510,1.0000
132000,-366.703,1.0000
134000,-366.703,1.0000
136000,-367.146,1.0000
138000,-367.146,1.0000
140000,-366.487,1.0000
142000,-366.487,1.0000
144000,-366.236,1.0000
146000,-366.236,1.0000
148000,-366.386,1.0000
150000,-366.386,1.0000
152000,-365.638,1.0000
154000,-365.638,1.0000
156000,-356.479,1.0000
158000,-356.479,1.0000
160000,-366.226,1.0000
162000,-366.226,1.0000
164000,-352.640,1.0000
166000,-352.640,1.0000
168000,-353.382,1.0000
170000,-353.382,1.0000
172000,-353.382,1.0000
174000,-366.770,1.0000
176000,-366.770,1.0000
178000,-366.158,0.9917
180000,-366.158,0.9917
182000,-366.116,0.9867
184000,-366.116,0.9867
186000,-364.609,0.9933
188000,-364.609,0.9933
190000,-377.908,0.9500
192000,-377.908,0.9500
194000,-364.139,0.9483
196000,-364.139,0.9483
198000,-350.882,0.9967
200000,-350.882,0.9967
