timesteps,mean_return,upright_frac
2000,-690.630,0.4867
4000,-317.535,1.0000
6000,-314.693,1.0000
8000,-350.403,0.9000
10000,-349.011,0.9000
12000,-362.845,0.9000
14000,-373.696,0.9000
16000,-373.525,0.9000
18000,-373.309,0.9000
20000,-373.064,0.9000
22000,-373.267,0.9000
24000,-363.162,0.9000
26000,-363.358,0.9000
28000,-354.670,0.9000
30000,-351.762,0.9000
32000,-350.391,0.9000
34000,-349.569,0.9000
36000,-362.623,0.9000
38000,-359.831,0.9000
40000,-299.406,1.0000
42000,-325.955,0.9883
44000,-349.770,0.9000
46000,-325.883,0.9750
48000,-350.151,0.9000
50000,-300.859,1.0000
