timesteps,mean_return,upright_frac
2000,-1448.338,0.0000
4000,-1175.469,0.0867
6000,-603.374,0.1733
8000,-551.680,0.5917
10000,-379.748,0.9000
12000,-309.932,1.0000
14000,-307.651,1.0000
16000,-304.912,1.0000
18000,-305.421,1.0000
20000,-316.236,0.8200
22000,-301.738,1.0000
24000,-302.633,1.0000
26000,-302.485,1.0000
28000,-302.410,1.0000
30000,-301.912,1.0000
32000,-301.631,1.0000
34000,-303.553,1.0000
36000,-302.366,1.0000
38000,-303.890,1.0000
40000,-304.180,1.0000
42000,-304.192,1.0000
44000,-303.737,1.0000
46000,-301.598,1.0000
48000,-303.048,1.0000
50000,-302.622,1.0000
52000,-304.633,1.0000
54000,-304.518,1.0000
56000,-304.880,1.0000
58000,-302.002,1.0000
60000,-304.627,1.0000
62000,-302.045,1.0000
64000,-302.318,1.0000
66000,-302.284,1.0000
68000,-302.048,1.0000
70000,-301.751,1.0000
72000,-302.969,1.0000
74000,-303.507,1.0000
76000,-304.652,1.0000
78000,-304.780,1.0000
80000,-302.624,1.0000
82000,-301.863,1.0000
84000,-301.786,1.0000
86000,-302.170,1.0000
88000,-302.952,1.0000
90000,-302.671,1.0000
92000,-302.218,1.0000
94000,-303.297,1.0000
96000,-303.602,1.0000
98000,-299.858,1.0000
100000,-302.911,1.0000
