#{"t_start": 1782138123.3904839, "env_id": "FetchReach-v4"}
r,l,t
-1.72058,50,1.530347
-2.094494,50,2.380716
-3.70859,50,3.368825
-2.871877,50,4.335511
-1.649376,50,5.532521
-2.538214,50,6.476788
-1.306988,50,7.403866
-2.39609,50,8.321325
-2.061698,50,9.47709
-2.305721,50,10.389207
-2.140611,50,11.349195
-1.794401,50,12.308813
-3.560535,50,13.580821
-3.684574,50,14.521079
-2.156922,50,15.47753
-2.273968,50,16.491245
-3.296516,50,17.783001
-2.468334,50,19.036926
-2.555811,50,20.355703
-2.111,50,21.635906
-2.725224,50,22.987103
-2.055183,50,24.072207
-2.444148,50,25.271662
-2.33531,50,26.493183
-2.014835,50,27.901501
-2.439591,50,29.119778
-2.068587,50,30.280147
-2.570255,50,31.552951
-1.947395,50,33.064539
-1.79299,50,34.241027
-2.400863,50,35.446807
-1.473202,50,36.570896
-2.667225,50,38.158453
-3.09278,50,39.411087
-2.896152,50,41.403906
-2.171576,50,42.671345
-2.122025,50,44.332142
-3.268395,50,45.643799
-3.262664,50,46.872261
-2.149925,50,48.427882
-1.76581,50,49.780781
-1.895079,50,51.064296
-2.032118,50,52.227262
-2.043993,50,53.473066
-2.342003,50,55.419936
-2.461037,50,56.722502
-2.078622,50,58.393728
-2.791286,50,59.773217
-2.032431,50,61.108836
-2.374579,50,62.346899
-2.285996,50,63.667251
-3.583233,50,65.209148
-2.437421,50,66.895108
-1.662839,50,67.995992
-1.965236,50,69.20898
-2.681395,50,70.395216
-2.997662,50,71.909989
-2.470773,50,73.213758
-1.937384,50,74.482653
-1.439573,50,75.763434
-1.812686,50,77.304891
-2.863508,50,78.505604
-2.374068,50,79.67484
-3.737221,50,80.950844
-2.452808,50,82.43073
-2.202529,50,83.708529
-2.836632,50,84.992759
-1.979732,50,86.240332
-2.210352,50,87.722161
-1.978188,50,89.057803
-3.533422,50,90.411063
-1.631727,50,91.860965
-2.554585,50,93.470606
-2.321121,50,94.732396
-1.822538,50,95.984902
-2.750135,50,97.259163
-2.263953,50,98.976254
-2.754311,50,100.451914
-1.340344,50,101.801784
-3.238081,50,103.345914
-1.255891,50,104.858831
-1.734831,50,106.164336
-1.139918,50,107.488803
-1.898484,50,108.806968
-1.598704,50,110.309691
-1.836749,50,111.980528
-2.080993,50,113.348744
-2.363833,50,114.581557
-3.170259,50,116.189143
-2.141789,50,117.384794
-1.701451,50,118.697253
